Competition,Albania,Austria,Belgium,Bulgaria,CIS,Croatia,Czech Republic/Czechia,Czechoslovakia,Denmark,England,Finland,France,Georgia,Greece,Hungary,Iceland,Ireland (Republic of),Italy,Latvia,Netherlands,North Macedonia,Northern Ireland,Norway,Poland,Portugal,Romania,Russia,Scotland,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,TÃ¼rkiye,Ukraine,USSR,Wales,West Germany/Germany,Yugoslavia,Federal Republic of Yugoslavia
Euro 1960,,,,,,,,Third place,,,,Fourth place,,,,,,,,,,,,,,,,,,,,,,,,,Champion,,,Runner-up,
Euro 1964,,,,,,,,,Fourth place,,,,,,Third place,,,,,,,,,,,,,,,,,Champion,,,,,Runner-up,,,,
Euro 1968,,,,,,,,,,Third place,,,,,,,,Champion,,,,,,,,,,,,,,,,,,,Fourth place,,,Runner-up,
Euro 1972,,,Third place,,,,,,,,,,,,Fourth place,,,,,,,,,,,,,,,,,,,,,,Runner-up,,Champion,,
Euro 1976,,,,,,,,Champion,,,,,,,,,,,,Third place,,,,,,,,,,,,,,,,,,,Runner-up,Fourth place,
Euro 1980,,,Runner-up,,,,,Third place,,Group stage,,,,Group stage,,,,Fourth place,,Group stage,,,,,,,,,,,,Group stage,,,,,,,Champion,,
Euro 1984,,,Group stage,,,,,,Semifinal,,,Champion,,,,,,,,,,,,,Semifinal,Group stage,,,,,,Runner-up,,,,,,,Group stage,Group stage,
Euro 1988,,,,,,,,,Group stage,Group stage,,,,,,,Group stage,Semifinal,,Champion,,,,,,,,,,,,Group stage,,,,,Runner-up,,Semifinal,,
Euro 1992,,,,,Group stage,,,,Champion,Group stage,,Group stage,,,,,,,,Semifinal,,,,,,,,Group stage,,,,,Semifinal,,,,,,Runner-up,,
Euro 1996,,,,Group stage,,Quarter final,Runner-up,,Group stage,Semifinal,,Semifinal,,,,,,Group stage,,Quarter final,,,,,Quarter final,Group stage,Group stage,Group stage,,,,Quarter final,,Group stage,Group stage,,,,Champion,,
Euro 2000,,,Group stage,,,,Group stage,,Group stage,Group stage,,Champion,,,,,,Runner-up,,Semifinal,,,Group stage,,Semifinal,Quarter final,,,,,Group stage,Quarter final,Group stage,,Quarter final,,,,Group stage,,Quarter final
Euro 2004,,,,Group stage,,Group stage,Semifinal,,Quarter final,Quarter final,,Quarter final,,Champion,,,,Group stage,Group stage,Semifinal,,,,,Runner-up,,Group stage,,,,,Group stage,Quarter final,Group stage,,,,,Group stage,,
Euro 2008,,Group stage,,,,Quarter final,Group stage,,,,,Group stage,,Group stage,,,,Quarter final,,Quarter final,,,,Group stage,Quarter final,Group stage,Semifinal,,,,,Champion,Group stage,Group stage,Semifinal,,,,Runner-up,,
Euro 2012,,,,,,Group stage,Quarter final,,Group stage,Quarter final,,Quarter final,,Quarter final,,,Group stage,Runner-up,,Group stage,,,,Group stage,Semifinal,,Group stage,,,,,Champion,Group stage,,,Group stage,,,Semifinal,,
Euro 2016,Group stage,Group stage,Quarter final,,,Round of 16,Group stage,,,Round of 16,,Runner-up,,,Round of 16,Quarter final,Round of 16,Quarter final,,,,Round of 16,,Quarter final,Champion,Group stage,Group stage,,,Round of 16,,Round of 16,Group stage,Round of 16,Group stage,Group stage,,Semifinal,Semifinal,,
Euro 2020,,Round of 16,Quarter final,,,Round of 16,Quarter final,,Semifinal,Runner-up,Group stage,Round of 16,,,Group stage,,,Champion,,Round of 16,Group stage,,,Group stage,Round of 16,,Group stage,Group stage,,Group stage,,Semifinal,Round of 16,Quarter final,Group stage,Quarter final,,Round of 16,Round of 16,,
Euro 2024,Group stage,Round of 16,Round of 16,,,Group stage,Group stage,,Round of 16,Final,,Semifinal,Round of 16,,Group stage,,,Round of 16,,Semifinal,,,,Group stage,Quarter final,Round of 16,,Group stage,Group stage,Round of 16,Round of 16,Final,,Quarter final,Quarter final,Group stage,,,Quarter final,,
