Euro_No,Albania,Austria,Belgium,Bulgaria,CIS,Croatia,Czech Republic/Czechia,Czechoslovakia,Denmark,England,Finland,France,Georgia,Greece,Hungary,Iceland,Ireland (Republic of),Italy,Latvia,Netherlands,North Macedonia,Northern Ireland,Norway,Poland,Portugal,Romania,Russia,Scotland,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,TÃ¼rkiye,Ukraine,USSR,Wales,West Germany/Germany,Yugoslavia,Federal Republic of Yugoslavia
1,,,,,,,,1960,,,,1960,,,,,,,,,,,,,,,,,,,,,,,,,1960,,,1960,
2,,,,,,,,,1964,,,,,,1964,,,,,,,,,,,,,,,,,1964,,,,,1964,,,,
3,,,,,,,,,,1968,,,,,,,,1968,,,,,,,,,,,,,,,,,,,1968,,,1968,
4,,,1972,,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,1972,,1972,,
5,,,,,,,,1976,,,,,,,,,,,,1976,,,,,,,,,,,,,,,,,,,1976,1976,
6,,,1980,,,,,1980,,1980,,,,1980,,,,1980,,1980,,,,,,,,,,,,1980,,,,,,,1980,,
7,,,1984,,,,,,1984,,,1984,,,,,,,,,,,,,1984,1984,,,,,,1984,,,,,,,1984,1984,
8,,,,,,,,,1988,1988,,,,,,,1988,1988,,1988,,,,,,,,,,,,1988,,,,,1988,,1988,,
9,,,,,1992,,,,1992,1992,,1992,,,,,,,,1992,,,,,,,,1992,,,,,1992,,,,,,1992,,
10,,,,1996,,1996,1996,,1996,1996,,1996,,,,,,1996,,1996,,,,,1996,1996,1996,1996,,,,1996,,1996,1996,,,,1996,,
11,,,2000,,,,2000,,2000,2000,,2000,,,,,,2000,,2000,,,,,2000,2000,,,,,2000,2000,2000,,2000,,,,2000,,2000
12,,,,2004,,2004,2004,,2004,2004,,2004,,2004,,,,2004,2004,2004,,,,,2004,,2004,,,,,2004,2004,2004,,,,,2004,,
13,,2008,,,,2008,2008,,,,,2008,,2008,,,,2008,,2008,,,,2008,2008,2008,2008,,,,,2008,2008,2008,2008,,,,2008,,
14,,,,,,2012,2012,,2012,2012,,2012,,2012,,,2012,2012,,2012,,,,2012,2012,,2012,,,,,2012,2012,,,2012,,,2012,,
15,2016,2016,2016,,,2016,2016,,,2016,,2016,,,2016,2016,2016,2016,,,,2016,,2016,2016,2016,2016,,,2016,,2016,2016,2016,2016,2016,,2016,2016,,
16,,2020,2020,,,2020,2020,,2020,2020,2020,2020,,,2020,,,2020,,2020,2020,,,2020,2020,,2020,2020,,2020,,2020,2020,2020,2020,2020,,2020,2020,,
17,2024,2024,2024,,,2024,2024,,2024,2024,,2024,2024,,2024,,,2024,,2024,,,,2024,2024,2024,,2024,2024,2024,2024,2024,,2024,2024,2024,,,2024,,
Participations,2,4,7,2,1,7,8,3,10,11,1,11,1,4,5,1,3,11,1,11,1,1,1,5,9,6,6,4,1,3,2,12,7,6,6,4,5,2,14,4,1
Championships,,,,,,,,1,1,,,2,,1,,,,2,,1,,,,,1,,,,,,,3,,,,,1,,3,,
Effectiveness,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.30%,10.00%,0.00%,0.00%,18.20%,0.00%,25.00%,0.00%,0.00%,0.00%,18.20%,100.00%,9.10%,0.00%,0.00%,0.00%,0.00%,11.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,0.00%,0.00%,0.00%,20.00%,0.00%,21.40%,0.00%,0.00%
